行业,股票代码,股票名称
锂,000408.SZ,藏格矿业
锂,000762.SZ,西藏矿业
锂,002192.SZ,融捷股份
锂,002240.SZ,盛新锂能
锂,002460.SZ,赣锋锂业
锂,002466.SZ,天齐锂业
锂,002756.SZ,永兴材料
锂,603399.SH,永杉锂业
钴,300618.SZ,寒锐钴业
钴,301219.SZ,腾远钴业
钴,600711.SH,盛屯矿业
钴,603799.SH,华友钴业
钨,000657.SZ,中钨高新
钨,002378.SZ,章源钨业
钨,002842.SZ,翔鹭钨业
钨,600549.SH,厦门钨业
稀土,000831.SZ,中国稀土
稀土,001280.SZ,中国铝业
稀土,600111.SH,北方稀土
稀土,600259.SH,广晟有色
稀土,600392.SH,盛和资源
黄金,000506.SZ,中润资源
黄金,000975.SZ,山金国际
黄金,001337.SZ,四川黄金
黄金,002155.SZ,湖南黄金
黄金,002237.SZ,恒邦股份
黄金,300139.SZ,晓程科技
黄金,600489.SH,中金黄金
黄金,600547.SH,山东黄金
黄金,600988.SH,赤峰黄金
黄金,601069.SH,西部黄金
铅锌,000060.SZ,中金岭南
铅锌,000426.SZ,兴业银锡
铅锌,000603.SZ,盛达资源
铅锌,000688.SZ,国城矿业
铅锌,000751.SZ,锌业股份
铅锌,000758.SZ,中色股份
铅锌,002114.SZ,罗平锌电
铅锌,600338.SH,西藏珠峰
铅锌,600497.SH,驰宏锌锗
铅锌,600531.SH,豫光金铅
铅锌,600961.SH,株冶集团
铅锌,601020.SH,华钰矿业
铅锌,603132.SH,金徽股份
铅锌,920634.BJ,新威凌
铜,000630.SZ,铜陵有色
铜,000737.SZ,北方铜业
铜,000878.SZ,云南铜业
铜,002171.SZ,楚江新材
铜,002203.SZ,海亮股份
铜,002295.SZ,精艺股份
铜,300697.SZ,电工合金
铜,600362.SH,江西铜业
铜,600490.SH,鹏欣资源
铜,601168.SH,西部矿业
铜,601212.SH,白银有色
铜,601609.SH,金田股份
铜,601899.SH,紫金矿业
铜,603527.SH,众源新材
铜,603979.SH,金诚信
铜,603993.SH,洛阳钼业
铝,000612.SZ,焦作万方
铝,000807.SZ,云铝股份
铝,000933.SZ,神火股份
铝,002160.SZ,常铝股份
铝,002379.SZ,宏桥控股
铝,002501.SZ,利源股份
铝,002532.SZ,天山铝业
铝,002540.SZ,亚太科技
铝,002578.SZ,闽发铝业
铝,002824.SZ,和胜股份
铝,002988.SZ,豪美新材
铝,002996.SZ,顺博合金
铝,003038.SZ,鑫铂股份
铝,300057.SZ,万顺新材
铝,300328.SZ,宜安科技
铝,300337.SZ,银邦股份
铝,600219.SH,南山铝业
铝,600361.SH,创新新材
铝,600595.SH,中孚实业
铝,600615.SH,鑫源智造
铝,600768.SH,宁波富邦
铝,600888.SH,新疆众和
铝,601388.SH,怡球资源
铝,601600.SH,中国铝业
铝,601677.SH,明泰铝业
铝,601702.SH,华峰铝业
铝,603115.SH,海星股份
铝,603271.SH,永杰新材
铝,603876.SH,鼎胜新材
铝,603937.SH,丽岛新材
铝,605208.SH,永茂泰
